S,R,O
run,is a,way to get somewhere fast
person jog to,has property,healthy
run,has property,monotonous
run,is a,slow than bike
accommodation,used for,stay
you,not capable of,need much to go run
connection,used for,connect thing
drive to work,has subevent,watch road
kid,not capable of,know very much
go on strike,has prequisite,organize
jog,defined as,run for long distance
discover truth,has prequisite,think hard
run for long time,has property,exhaust
rabbit,has property,fast
get burn,is a,bad because it hurt
be healthy,has property,good
white wine,has property,clear in color
fold chair,used for,sit on beach
you,capable of,buy book
candle,used for,light thing when power be out
you need to,has a,someone phone number to call them
you,capable of,jog after work
red wine,has property,red in color
computer,has a,mouse
run,is a,something
loud noise,capable of,disturb other person
car,capable of,corner corner
listen to music,has property,fun
child run arounds,capable of,time
run downhill,has property,uphill
get book you,capable of,borrow it
go to performance,has subevent,dress appropriately
if you damage something expensive that,has property,bad
book by famous author,is a,good book
you,not desires,make mistake
you,not capable of,sprint very far
you,not desires,make error
you,is a,move fast when you be run
disturb other person,not has property,good
dog,has a,lot of hair
wash your clothe,has subevent,must first sort them
visit other country,causes,happyness
storm,capable of,be settle down
eat too much butter,has property,unhealthy
you,has a,different ball for different game
truck,capable of,ship good
comb,receives action,need when you comb your hair
football,has property,fun
attend meet,causes,big salary
use calculator,has subevent,to
you,capable of,rest after exercise
make phone call,causes,give information to someone
start family,has prequisite,spouse
small child,not capable of,walk
analyse something,causes,new knowledge
dartboard,receives action,tilt
dart,receives action,throw by hand
attend classical concert,has prequisite,you to like classical music
some cheese,has a,hole
you dont suffer if you,has property,numb
join army,causes,get yourself kill
you,capable of,tool to open bolt
you,capable of,carry food in tray
stockbroker,capable of,deal stock
in harbour your boat,has property,safe
mountain,has a,snow on top
child,capable of,laugh at you
serve customer,causes,headache
buy product,causes,get poor
earn live,has subevent,save for retirement
fight enemy,has subevent,take and inflict casualty
wash clothe,causes,their color to run or fade
stab to death,causes,pool of blood
eat in restaurant,has subevent,get bill
see person play game,causes,kibitz
spend money,has prequisite,have money or credit
read,has subevent,play music in background
bill clinton,has a,sleep with every girl in town
briana and ryan,is a,in love
buy christmas present,motivated by goal,give to others
everyone,has a,breathe air to live
mom,capable of,keep their child
person,desires,feel want
person,desires,everything to go smoothly
person,desires,sucseed
fisrt grader,capable of,count to 20
laugh at joke,motivated by goal,joke be funny
person,desires,thing their way
person,desires,live in love enviroment
person,desires,toy
if you,capable of,ask their name
sit on chair,motivated by goal,rest your rear
stock,at location,market
self defense,causes desire,kill
cord,at location,bundle
person,capable of,wait table
air condition,at location,office
see your idea become reality,causes,overwhelm happiness
deer,capable of,long for water
give clue,has prequisite,understand answer
bald eagle in,at location,great seal of unitedstates
student,capable of,duck assignment
one of these disease you,capable of,get from other person be mumps
on battle field you,capable of,catch many disease
run errand,has subevent,get catch in traffic
telescope,capable of,see distant object
steam cool down,has subevent,it turn into water again
salad,has property,pungent and bitter
cloth,capable of,shine metal
snare drum,used for,hit person
trophy,receives action,keep for glorify oneself
dead creature,not capable of,do
cut something,causes,part of it to separate
human,capable of,kill other human
all creature,capable of,die
give clue,causes,death
life and death,has property,exclusive
horse,has a,big schlongs
child,has property,amuse
sex,is a,often
exercise,has subevent,listen to music
catch mumps,has first subevent,get sick
death,causes,cessation of cognition
some person consider worthless bead to,has property,decorative
human,has a,strong reproductive instinct
weather,has property,hot
go for run,has subevent,you get tire
some gay men,is a,sexually
vanity,capable of,accompany arrogance
some person,has property,gullible
it rain,has subevent,it pour
cheese often,has a,pungent smell
world,has a,too many person
human,has property,deceitful
statement,has property,false
all conflict,receives action,cause by limit resource
surprise,has property,unpleasant
human,capable of,drink fluid
drum,used for,sit on
person,capable of,kill animal
child know,capable of,little at birth
go to performance,causes,entertainment
child,capable of,know less than adult
alarm,receives action,sound when sentry be frighten
house be something person,capable of,buy
seller,defined as,person who sell house
many person,has property,frighten by centipede
new knowledge,at location,class
armchair,is a,wide than person
company,capable of,increase or decrease in size
basketball court,has a,two halve
restaurant table,has property,tall as person waist
hallway,is a,space
notepad,is a,many sheet of paper bind together
you,capable of,take picture of beautiful scenery
you,capable of,find duvet in bedroom
gas burn,has subevent,heat be emit
microphone boom,is a,loud sound
chameleon,has property,blue
research,capable of,advance knowledge
baritone,is a,musical instrument
cloud,used for,block sun
person,capable of,talk shit
you,capable of,store preservative in jar
person,capable of,own animal
eat hair,is a,unpleasant thing to do
heat pad,capable of,heat part of person
child,capable of,take part in activity
paper menu,has property,less durable than plastic menu
flouride toothpaste,capable of,help prevent cavity
shelf,capable of,jut out from wall
consumer,capable of,return good
gardener,capable of,pick weed
twenty,is a,possible number of dollar
sponge,capable of,wet surface
most oboe,has property,black
you,capable of,store pencil in desk drawer
you,capable of,store junk in trunk
contraceptive,at location,health center
stove,made of,metal
card,has property,flat and rectangular
wing,is a,branch of build
contestant,capable of,guess answer
bus station,has a,bench
piece,is a,part of large whole
i,capable of,name my fish
national interstate highway,is a,long than 100 mile
brook,has a,water in it
realtor,capable of,sell house
chair to sit on,at location,barber shop
electricity,capable of,short fuse
person,capable of,sleep in bedroom
compete,has first subevent,win
start flame or fire,has first subevent,find match
sit down,has first subevent,look for glue on chair
stay healthy,has subevent,smoke
play card,has first subevent,cheat
keep thing orderly and tidy,has last subevent,change your name to dwight
clean clothe,has last subevent,dry them
fly kite,has prequisite,buy string
stab to death,has first subevent,die
cook curry,has prequisite,kill curry
travel,has first subevent,leave
see your favorite show,has prequisite,have one
play violin,has first subevent,buy earplug
get divorce,has subevent,celebrate
paint picture,has subevent,find naked woman
sign contract,has subevent,find pen
write program,has subevent,fix it
talk with someone far away,has prequisite,move close
write poem,has first subevent,die
see person play game,has first subevent,keep drive
prove your physical endurance,has subevent,run 10k
catch mumps,has subevent,swell up
talk with someone far away,has subevent,move close
stay healthy,has subevent,run
bungee jump from high bridge,has first subevent,see psychiatrist
examine thing,has prequisite,figure out what it be
grocery shop,has subevent,smoke
reach tentative agreement,has prequisite,be reasonable
sew,has first subevent,smoke
buy food,has first subevent,pay by check
wash clothe,has prequisite,get them dirty
program computer,has first subevent,type
write story,has subevent,smoke
prove your physical endurance,has prequisite,run 25k
holiday shop,has last subevent,go postal
meet girl,has last subevent,have orgy
pay by check,has prequisite,go to store
commit to memory,has prequisite,care
advance into battle,has subevent,lose
go fish,has last subevent,smell
mail letter,has first subevent,write it
fight enemy,has prequisite,gun
test car,has subevent,put my wife in it
become more clean,has subevent,become less dirty
find information,has first subevent,use it
go to get haircut,has first subevent,grow hair
pass course,has subevent,pay teacher
wait your turn,has prequisite,push everybody out of way
play basketball,has prequisite,play hockey
have lunch,has first subevent,buy food
get clean,has subevent,go to work
enjoy film,has last subevent,leave
clean your room,has last subevent,vomit
remember phone number,has prequisite,get one
bono,is a,human
lose consciousness,has subevent,get unconscious
mow,defined as,act of cut grass
visit other country,used for,enlightenment
drive car,has last subevent,pay attention
run errand,has subevent,think
pay bill,has first subevent,take out my wallet
know if you re healthy,used for,sense of security
cookbook,defined as,plural of cookbook
tell many person about something,motivated by goal,it be good news
stairway,used for,connect two floor of different height
chat with friend,used for,keep in touch
man,capable of,own property
person,desires,interaction
pass course,used for,gain qualification
basket,made of,plastic
celebrate,has subevent,you drink too much champagne
crisp,at location,table
play harp,motivated by goal,play in instrument
join army,has last subevent,tell everyone you gay
i,capable of,demand that some bring me champagne
filth,at location,television
kiss,has last subevent,eat garlic first
propose to woman,has subevent,you become straight
add up number,has subevent,add decimal first
champagne,defined as,drink of classy
go to performance,causes,get ring ear
forgive someone,motivated by goal,move on
serve customer,has prequisite,business
cute men,at location,fraternity house
bass baritone,at location,choral group
invest money or energy,has subevent,you may lose some
know if you re healthy,has subevent,you weigh yourself
go for walk,causes,get tire leg
there,is a,much world poverty
receive degree,has subevent,have photo take
understand something good,motivated by goal,like it
jason,capable of,note bad clothe
pass course,has subevent,you may get certificate
stop stand in it,motivated by goal,dry off
wheat,at location,cereal packet
do crossword puzzle,has subevent,tippex may be use
dog,capable of,eat special canine chocoalte
go to school,causes,become tire
mystic meg,capable of,guess but not predict future
find lose item,has subevent,find other lose item
grass,is a,green on other side
design software,causes,rsi
pass sentence,has subevent,be take into custordy
remember,has first subevent,write it down
become inebriate,causes,sexual inhabition
give clue,causes,help solve riddle
wax dental floss,at location,chemist
trash container,at location,industrial estate
refuse,at location,bin
gain more land,has prequisite,have plan
tarja halonen,is a,president of finland
adolf hitler,is a,very nutty man
go for run,has last subevent,cool down
food,capable of,please hungry
canadian,capable of,move to unite state
read magazine,used for,lesiure
explosive,used for,blow up dam
explosive,used for,terrorist act
have haircut,used for,conformity
studio pedestal,used for,model
channel,used for,watch
mayor,used for,help
take midterm,used for,accessment of ability
start family,used for,focus love on others
create art,used for,culture
reproduce,used for,fulfillent of desire
take shower,used for,have sex in shower
become inebriate,used for,get lay
take shower,used for,smell clean
create art,used for,expression
take bus,used for,fast transportation
ski,used for,enjoyment
start family,used for,bring together of couple
take bus,used for,meet person
rest,used for,relaxation
play sport,used for,bond
city hall,used for,court
city hall,used for,pride
take shower,used for,health
go for haircut,used for,keep hair short
channel,used for,avoid signal confusion
tissue holder,used for,store tissue
rest,used for,recovery of energy
reproduce,used for,pass on gene
socialise,used for,human contact
thumb tack,used for,place on seat
hurt someone else,used for,controll
city hall,used for,leadership
space,used for,containment of universe
take bus,used for,poor person
have physical exam,used for,diagonosis
explosive,used for,bomb
sleep at night,used for,prevent accident
discover truth,used for,freedom
sleep at night,used for,fulfillment of bodily requirement
transit card,used for,fast travel
hurt someone else,used for,teach lesson
channel,used for,passage of ship
start family,used for,share love
become scuba diver,used for,explore underwater
commit perjury,used for,get away with crime
take midterm,used for,accessment of progress
thumb tack,used for,hold poster in wall
city hall,used for,plan
explosive,used for,remove tree stump
electronic appliance,used for,convience
take midterm,used for,harassment of student
become inebriate,used for,clear bowel
dish,used for,serve liquid
sew,used for,create quilt
hurt someone else,used for,get in trouble
start family,used for,reproduce gene
take bus,used for,conserve energy
become inebriate,used for,digestion
check vital sign,used for,determine status of person
transit card,used for,not have to carry money
play sport,used for,personal fulfillment
mayor,used for,council
create art,used for,pleasure
hurt someone else,used for,pleasure
mayor,used for,direction
play violin,used for,pleasure
document folder,used for,contain document
sleep at night,used for,health
get warm,used for,survival
appointment book,used for,record name
bathroom with toilet,used for,removal of bodily waste
document folder,used for,organize document
graveyard,used for,memorial to dead
get clean,causes,dirty go away
play tennis,has subevent,break your arm
this,is a,oriental book
skateboarder,capable of,break bone
child,capable of,wedge herself into hide place
person,desires,work toilet
comedian job,is a,try to make person laugh
bloke,capable of,fancy girl
fly in airplane,has prequisite,join air force
commit suicide,has subevent,swallow bottle of sleep pill
person,not desires,vermin infest their apartment
act in play,motivated by goal,perform in front of audience
school system,capable of,require all student to be immunize
light fire,motivated by goal,collect insurance money
cook,capable of,bread chicken cutlet
logical person,capable of,win chess game
museum,is a,popular travel destination
dream,has prequisite,stretch of uninterrupted sleep
inmate,capable of,hurt prison guard
watch tv,motivated by goal,mindless distraction
mathematician,capable of,explain algorithm
judge,capable of,clear defendant of all charge
perform,has subevent,read cue card
annoy person,capable of,get to you
person,not desires,razor burn
restaurant patron,capable of,wait to place his order
crave for chocolate,causes desire,taste something sweet
kill,has subevent,get blood on your clothe
score home run,causes,spectator stand up and cheer
flirt,causes,sexual excitement
club,capable of,welcome new member
sing,has prequisite,vocal chord
soak in hotspring,causes,get pruny skin
clean your room,has subevent,you reduce amount of dust
go to store,causes,buy unnecessary thing
alley,capable of,be dark and dangerous place
play harp,has subevent,you pluck string
person,not desires,be trample by moose
wait on line,has subevent,eavesdrop on other person conversation
learn about science,causes,become more skeptical
forger,capable of,doctor official document
arsonist,capable of,strike match
person,desires,health insurance
write letter,causes,use stamp to mail it
see something new,causes,become curious
fire extinguisher,used for,propel yourself across room
utter despair,causes desire,commit suicide
basketball team,capable of,continue it win streak
scientist can study,capable of,study whether certain chemical cause cancer
person,desires,clean underwear
get job,causes,have more expendable income
editor,capable of,spot misspell
candy,capable of,smell like fruit
ride bike,has subevent,shift gear
competitor,capable of,equal his opponent
person,desires,their french fry to be hot
interior designer,capable of,look at fabric sample
textbook,capable of,include glossary
pay bill,causes,collection agency stop call
woman,capable of,doubt man sincerity
stop be marry to someone,motivated by goal,you stop love them
understand something good,has prequisite,research topic
act in play,has prequisite,attend audition
commit murder,has prequisite,procure weapon
own woodstove,causes desire,chop firewood
student,capable of,page through text book
prospecter,capable of,look for gold
hear crowd go mad,motivated by goal,someone score goal
critical person,capable of,list your shortcoming
well-built boat,capable of,weather storm
buy christmas present,has subevent,you use your credit card
repairman,capable of,be service break appliance
doctoral candidate,capable of,complete her dissertation
do housework,motivated by goal,you cannot afford clean service
skillful general,capable of,divide and conquer
realtor,capable of,show house
researcher,capable of,mark that page for future reference
sore behind,causes desire,stand up
nightmare,is a,frighten dream
war criminal,capable of,face tribunal
old woman,capable of,blue her hair
immigrant,capable of,long for his homeland
wash and wear fabric,used for,make shirt
person,capable of,try to solve puzzle
another name for ping-pong,is a,table tennis
glaucoma,capable of,cloud your vision
growl stomach,causes desire,have food
traveler,capable of,journey by train
embezzler,capable of,cook book
compute sum,has subevent,you use calculator
microwave,capable of,warm up your coffee
hero,capable of,battle enemy
go on internet,has subevent,download new software
school system,capable of,bus it student
hit bottle,motivated by goal,forget your trouble
person,capable of,fish for compliment
wear plaid shirt and workboots,causes desire,chop firewood
actress,capable of,cry convincingly on cue
paint,has subevent,mix new color
contortionist,capable of,from straightjacket
ballerina,capable of,dance on their toe
eat,used for,experience delicious taste
paper towel,capable of,dry apple
vend stand,used for,buy soda
person,not desires,pay late fee
locksmith,capable of,enter lock room
usher,capable of,help you find your seat
cook dinner,causes,produce fragrant aroma
visit museum,causes,person to whisper
loud drum play,capable of,annoy your neighbor
groundskeeper,capable of,start lawn mower
get good grade,motivated by goal,teacher like you
stablehand,capable of,water horse
visit art gallery,has prequisite,desire to look at art
visigoth,capable of,storm castle
start fire,has subevent,kindle become engulf in flame
person,not desires,splinter in their finger
sunny summer day,has property,perfect for go to beach
owner,capable of,bell cat
write poem,has prequisite,know lot of word
become inebriate,has prequisite,drink shot
mortician,capable of,dress decease
run marathon,has prequisite,eat lot of carbohydrate
person,not desires,clog artery
road crew,capable of,paint road line
dance,causes,move your body
experiment,capable of,prove hypothesis
supermarket employee,capable of,bag grocery
tie your shoelace,has subevent,you tie double knot
paper notepad,has a,line on page
speaker,capable of,field question from audience
thrifty smoker,capable of,roll his own cigarette
store,capable of,honor competitor coupon
witness,capable of,sound alarm
stand in line,motivated by goal,pay for your grocery
wage war,motivated by goal,claim some territory
optical illusion,capable of,fool eye
store,capable of,stock certain brand
earthquake,capable of,cause build to collapse
cut your hair,has prequisite,find someone with scissor
take shower,has subevent,drop soap
person,capable of,visit museum when they travel
fish net,capable of,catch shark
get wet,causes,have frizzy hair
private investigator,capable of,tail cheat husband
tax form,at location,library
private person,capable of,close door
play soccer,causes,injure your knee
shopper,capable of,eye pair of shoe
contemplate,causes,deep thought
coupon holder,capable of,receive free bag of chip
passion for ticket,causes desire,work box office
fly in airplane,has subevent,drink bad coffee
person,capable of,visit with family member during holiday
passenger,capable of,board yacht
skate,motivated by goal,glide across ice
serve justice,has prequisite,careful examination of fact
release your energy,motivated by goal,you could not contain it anymore
win baseball game,has prequisite,have good pitcher
drunk driver,capable of,hit pedestrian
sunscreen,capable of,help prevent sunburn
knit,causes,create scarf
boat,used for,transport illegal alien
person catch in avalanche,capable of,lose their extremity to frostbite
debutante,capable of,make her society debut
expert,capable of,spot fake
person,not desires,krazy glue in their hair
monkey,capable of,turn on light switch
person,capable of,meet friend for lunch
convict suspect for crime,motivated by goal,prosecution have strong case
surf web,has prequisite,internet connection
enjoy company of your friend,motivated by goal,they make you laugh
television commercial,is a,30 second long
hear music,causes,sway to beat
some psychic,capable of,see into future
person,desires,syrup on her waffle
army,capable of,mine battlefield
philosopher,capable of,think deep thought
court decision,capable of,set precedent
stay in bed,has subevent,snuggle under cover
widow,capable of,hold back her tear
go to zoo,has subevent,watch seal eat fish
toddler,capable of,take nap
maybe old dog,capable of,learn new trick
chat with friend,causes,hear some good gossip
dog,capable of,smell crotch
cat,capable of,walk on windowsill
gardener,capable of,water rose
contemplate,has prequisite,find quiet place to think
balloon,capable of,rise into air
eat breakfast,has prequisite,availability of breakfast food
fix computer,has prequisite,know what problem be
be torture mercilessly,causes desire,have heart attack
sew,causes,prick yourself with needle
dehumidifier,capable of,dry air
fisherman,capable of,row skiff
shopper,capable of,eye new pair of shoe
linen chest,used for,store sheet and towel
retiree,capable of,winter in florida
precocious child,capable of,star in sitcom
dictator,capable of,be rule country
climb mountain,has prequisite,get some climb equipment
caramel,capable of,coat apple
expert,capable of,head committee
debate politics,motivated by goal,you like to argue
make shop list,has prequisite,find piece of paper
think,has prequisite,brain cell
kindergartener,capable of,be begin school
handyman,capable of,oil hinge
bury cat,motivated by goal,hide evidence
person,desires,work refrigerator
you,capable of,cook food in fry pan
you,capable of,climb up ladder
take examination,causes,receive grade
invest money or energy,has prequisite,expect return on your investment
flower,capable of,give nectar to hummingbird
see artifact,causes,gain good understand of history
lose consciousness,has subevent,your body slump to grind
unwashed person,capable of,smell himself
person,desires,steam milk in their latte
gossip,capable of,be talk about his neighbor
tulip,capable of,flower in month of april
person,desires,juicy pear
run twenty six mile,causes,excruciate pain
creditor,capable of,demand payment in full
confuse person,capable of,come to his sense
have birthday,causes desire,open gift
feature film,has property,expensive to produce
go to store,has prequisite,put on some shoe
locksmith,capable of,enter lock apartment
some comedian,capable of,do impression
skateboard,motivated by goal,emulate tony hawk
diner,has a,side of fry
person,desires,snack
attend rock concert,has subevent,step on other person toe
take car for drive,has prequisite,gas in tank
person,desires,be sufficiently hydrate
hostess,capable of,decide which guest to invite
college student,capable of,pay tuition
storyteller,capable of,tell tale of adventure
take stand,causes,be bully
walk around lake,has subevent,see beaver dam
tube rider,capable of,mind gap
dream,motivated by goal,imagine different possibility
buy present for others,has subevent,save receipt
aggressive person,capable of,start argument
person,not desires,miss their plane
be in love,causes desire,propose to woman
play game of chess,causes,sacrifice pawn
photographer,capable of,show his portfolio to prospective client
watch film,has subevent,boo villain
car buyer,capable of,trade in her old car
real estate,capable of,increase in value
sharp object,capable of,cut skin
have checkup,causes,have to remove your clothe
howl with laughter,motivated by goal,you be watch hilarious movie
psychic,capable of,remember their past life
buy product,has subevent,read ingredient
person,not desires,be party pooper
job seeker,capable of,answer help want ad
knit,has subevent,look at pattern
meteorologist,capable of,talk about weather
walk,causes,move your body
baby,capable of,play peekaboo
hear sing,motivated by goal,you be listen to radio
climb mountain,has subevent,you cause avalanche
volcano,capable of,form new island
go to performance,motivated by goal,you buy ticket
socialize,has prequisite,go somewhere where there be person
death wish,causes desire,advance into battle
have friend over,has subevent,cook dinner
watch tv show,causes,hysterical giggle
guilty person,capable of,face music
protester,capable of,be cry for justice
amnesiac can forget that he,has a,child
person,desires,applause
fight war,has subevent,manufacture more weapon
know how stock market perform,causes,despair
adult,capable of,act like infant
look good,motivated by goal,you get good hair cut
tickle,has prequisite,find tickle victim
approach hailstorm,causes desire,move car
get wet,has subevent,squeal
tree,capable of,shade picnic table
sell your new book,motivated by goal,person to read your write
tulip,receives action,grow from bulb
have party,has subevent,your guest get drunk
person,desires,clean apartment
person,not desires,hold up line
see particular program,has subevent,learn some interest fact
have bath,motivated by goal,you smell
pastry chef,capable of,separate white and yolk
hostage negotiator,capable of,deal with terrorist
detective,capable of,question suspect
party guest,capable of,bring bottle of liquor
take break,has subevent,you stop work
find cockroach in kitchen,causes desire,do housework
have nervous breakdown,causes,take psychotropic drug
laugh at joke,has subevent,milk come out of your nose
your tongue,capable of,taste sour milk
walk,causes,get pebble in your shoe
pilgrim,capable of,visit shrine
parisian,capable of,smoke cigarette
cruel remark,causes desire,punch someone
river,capable of,course through valley
subway platform,used for,performance by amateur musician
set cup on table,causes,damage to wood
person,desires,be able to wiggle his finger
brass instrument,used for,play in quartet
person,desires,pant that fit
play basketball,motivated by goal,date cheerleader
try on bathe suit,causes desire,stay fit
celebrate,causes,riot
have rest,has subevent,drool on your pillow
person,not capable of,always control their circumstance
go for haircut,has prequisite,appointment with salon
get some money from someone,motivated by goal,buy something special
person,not desires,late fee
fiddle,causes,tap your toe
howl with laughter,has subevent,throw back your head
please your parent,has prequisite,become financially independent
hear testimony,has prequisite,visit courtroom
view film at home,causes,make popcorn
desperate woman,capable of,low her standard
snore,has prequisite,sleep on your back
beggar,capable of,cup his hand
supreme court,capable of,rule on constitutional matter
exhibitionist,capable of,raise her skirt
person,not desires,be scapegoat
baker,capable of,burn batch of cookie
watch tour de france,causes desire,ride bike
eat,has prequisite,tooth for chew
stand in queue,causes,get impatient
fiddle,causes,person to square dance
nanny,capable of,push stroller
weapon dealer,capable of,arm guerilla group
start fire,causes,create spark
test car,motivated by goal,more information before you buy it
open bag of chip,motivated by goal,you want salty snack
martyr,capable of,shoulder burden
fish farmer,capable of,farm salmon
see excite story,causes,share that story with other person
act in play,has prequisite,be capable of memorize line
new kitchen,capable of,increase value of your home
look good,has subevent,admire yourself in mirror
player,capable of,understand rule
low mortgage rate,causes desire,buy house
earn live,causes,be able to pay rent
light match,motivated by goal,light some birthday candle
plastic wrap,capable of,cover bowl
have rest,used for,when you be tire
fix computer,has prequisite,have computer skill
sailor,capable of,sail seven sea
person,not desires,be in no-win situation
blood,capable of,can be course through your vein
lion,capable of,hunt gazelle
hear crowd go mad,has subevent,cover your ear
dealer,capable of,supply you with drug
tickle,motivated by goal,hear someone laugh
eat breakfast,has subevent,butter your toast
frustrate person,capable of,blow off steam
stab to death,motivated by goal,someone to die painfully
supermarket,capable of,buy from wholesaler
skydive without parachute,has property,dangerous
be,is a,example of obvious relationship
animal,has a,live body while computer do not
some thing,has property,simple
boyfriend,capable of,kiss girlfriend
you age,has subevent,your hair turn white
you have cold,has subevent,blow your nose
television network,capable of,air television program
take phone call,has prequisite,give person your phone number
not all thing,has property,complicate
be lazy,has property,hazardous to your health
julius caesar,not capable of,play tennis
all person,capable of,do simple thing
endpoint,at location,end of line
analyse something,has prequisite,carefully examine all fact
someone with open arm,desires,be your friend
sit on plush couch,has property,comfortable
your friend,defined as,person you care lot about
sit down,has property,more comfortable
someone,at location,antarctica
exercise,is a,one way not to be lazy
one thing you,capable of,do on river be canoe
be in forest,has subevent,be out of reach of society
obstruct justice,has prequisite,lie under oath
book,used for,learn about world
cheater,capable of,doctor result
lifelong friend meet when they,is a,kid
uncooked fish,has property,hazardous to your health
have fun,causes,euphoria
run marathon,has subevent,become out of breath
wake up in morning,causes,resentment
movie often,has a,many character
make good world,has prequisite,do your part
red yellow and blue,defined as,three primary color
fly by plane,is a,safe than drive car
crab,has a,claw to pinch thing
fun,defined as,active pursuit of happiness
pay bill,has property,complicate
post office,used for,send mail to other place
die,has prequisite,call dr
go to restaurant,has subevent,you eat food
learn about science,has prequisite,enroll in science class
fight war,causes,fear
watch tv,has subevent,you see commercial
ice,is a,cold than liquid water
read book,motivated by goal,person to think you be smart
howl with laughter,has prequisite,go to comedy club
get job,has prequisite,look in classified
some forest,has a,river
leave room in anger,has subevent,slam door
apply for job,has subevent,prepare resume
reaction of others,causes desire,laugh at joke
fight inflation,motivated by goal,save money
take exam,causes,anxiety
something,at location,china
go to work,causes,get money
go to market,causes,arrive at your desination
communicate,has subevent,you be understand by others
knifemaker,capable of,blue knife
hair clip,at location,a
improve yourself,causes,good mark in school
auditorium,at location,light
someone,at location,peru
enjoy day,has prequisite,good attitude
get drunk,causes,illness
eat ice cream,has subevent,pleasure
awake,has prequisite,incentive
get drunk,has subevent,get kill
record somethign,has subevent,speak
deer walk on road,has subevent,they be kill by car
eat,has property,important to stay alive
my head,has property,warm
mpaa,has property,bad
fear,is a,indication of danger
toaster pastry,has property,good
riaa,has property,bad
tornado,capable of,be disaster
play chess,causes,get lay
unless they,is a,modernist
woman next door get change,causes desire,look through telescope
but some,has property,plain
so you should,capable of,carry umbrella
have lunch,has subevent,read book
if it,is a,vicous and without mercy
strategy,defined as,most important thing
and should,receives action,replace
or,capable of,lie around on sofa
forgive someone,causes,good karma
every fourth year,is a,366
have fun,causes,enjoyment
tell many person about something,has prequisite,enourmous patience
because her boyfriend,has property,lazy
tell story,has subevent,reden
go to work,has prequisite,bewegung
watch tv,has subevent,sitzen
they,used for,heat house
fight enemy,causes,person die
bus route,capable of,take you to shop
paint picture,has subevent,gain pleasure from do it
sleep at night,causes,wake up rest
attend meet,has subevent,minute be write
town,has a,shop
fear of punishment,causes desire,go to work
bathe,used for,become clean
cross street,has first subevent,wait for light to change
have conversation,has prequisite,meet person
play baseball,has prequisite,go outside
steak,is a,often
college often,has a,band
person,capable of,ride train
madman,capable of,be talk nonsensically
get exercise,has prequisite,go to health club
do housework,has subevent,find lose item
look through telescope,has prequisite,go to planetarium
wait in line,has subevent,frustration
walk around lake,has subevent,flock of bird fly nearby
open gift,has subevent,hold your breath
buy christmas present,causes,good retail sale
study,causes,know more
phrase dirty laundary,has a,another meaning:
have friend over,causes,bond
key,capable of,free someone
hose,capable of,wash car
water,capable of,douse fire
buy shirt,has last subevent,try it on
stand up,motivated by goal,you do not want to sit down
hafnium,is a,toxic metal
go for swim,has last subevent,get out of pool
you,capable of,eat bean
attend meet,has subevent,walk to meet
be in charge of project,has prequisite,plan project
i,capable of,keep book
some game,has property,excite
fight war,motivated by goal,prove yourself right
ice melt,has subevent,it become water.\
read letter,has subevent,look
person,capable of,drive car to restaurant
howl with laughter,has subevent,laugh
hafnium,is a,element number 72
mit,is a,very big school for technology
i,capable of,use television
you,capable of,hold that pipe
use calculator,causes,you will get yell at
read news,has prequisite,get newpaper
you,receives action,numb with anesthetic
it,capable of,hold personal item
neutron star,is a,few ten of kilometer across
ferret,at location,riverbank
queen of denmark,is a,margrethe
life,is a,matter of chemistry
watch movie,has subevent,you cry
meet interest person,has prequisite,meet person
i,capable of,astronomer i look at star
star be hot planet,has property,cold
hang out at bar,has prequisite,dress
something small than box,at location,box
doormat,used for,keep your shoe clean
glass be heat enough,has subevent,it melt
dog,capable of,require water
we,capable of,control them
continental quilt,at location,usa
we,capable of,state it
sand,is a,plentifull
winetrs,has property,cold
white dwarf,defined as,size of planet
you,capable of,see across universe
you,capable of,miss them
die,has first subevent,rest
lady,at location,budoir
play baseball,has first subevent,go outside
religion and superstition,is a,just psychological phenomenon
cow,is a,big than cat
anyone,capable of,call 911
god,is a,dead you know
bomb,at location,bomber airplane
star,has property,big
eat in restaurant,motivated by goal,some food
appointment book,at location,handbag
person,capable of,say ouch
index card,at location,index card box
thing,at location,backpack
snake,has property,poisonous
love,causes desire,entertain someone
person pray,has subevent,they feel good
fresh snow and low price,causes desire,ski
space,capable of,separate two object
sun,capable of,shine light
become dirty,causes desire,become more clean
have nervous breakdown,motivated by goal,something you cannot atain
test score,capable of,matter in your grade
you,capable of,recieve shoe as gift
pier 39,has a,street entertainer
you,capable of,wish for your inermost desire
street entertainer,is a,person
chuck,capable of,wear tight shoe when dance
stage curtain,used for,hide stage
showroom,at location,vega
linen chest,used for,stoe linen
pay by credit card,has prequisite,bring your purchase to counter
number,at location,math textbook
reception desk,used for,greet person
blue bird fly,at location,rainbow
organ,at location,system
society,at location,population
mouse,at location,the'mouse house toy
acne medication,capable of,dry your skin
some medication,has prequisite,prescription
subway platform,is a,noisy place
graveyard,defined as,same as cemetary
boat,is a,place where we feel relaxation
saddle,has property,wear by horse
crossroad,capable of,mean decision
heat,receives action,produce by heat
wheat,receives action,grow in field
clothe dryer,receives action,sell by retailer
choker,is a,jewelry
coat,receives action,wear over shirt
shop bag,has a,handle
both dog and parakeet,is a,common pet
two of purpose of prison,is a,rehabilitation and punishment
fajitas,is a,fun food for party
carafe,has a,water or wine
wool,has property,warm and itchy
